Modelo,Ago/24
VW/POLO,14274
GM/ONIX,9018
FIAT/ARGO,7768
VW/T CROSS,7118
HYUNDAI/HB20,7103
GM/TRACKER,6416
HYUNDAI/CRETA,5962
JEEP/RENEGADE,5517
NISSAN/KICKS,5355
GM/ONIX PLUS,4843
FIAT/MOBI,4771
RENAULT/KWID,4622
HONDA/HR-V,4542
VW/NIVUS,4458
FIAT/FASTBACK,4408
TOYOTA/COROLLA CROSS,4318
CAOA CHERY/TIGGO 7,4016
JEEP/COMPASS,4005
FIAT/CRONOS,3759
HYUNDAI/HB20S,3592
FIAT/PULSE,3554
TOYOTA/COROLLA,3515
VW/VIRTUS,2926
GM/SPIN,2634
BYD/SONG,2516
TOYOTA/YARIS HB,2392
TOYOTA/YARIS SEDAN,2347
BYD/DOLPHIN MINI,2298
RENAULT/KARDIAN,2263
GWM/HAVAL H6,2112
PEUGEOT/208,1914
CITROEN/C3,1899
HONDA/CITY,1767
JEEP/COMMANDER,1673
VW/TAOS,1664
HONDA/CITY HATCH,1543
TOYOTA/HILUX SW4,1361
BYD/DOLPHIN,1056
CITROEN/C3 AIRCROSS,1049
RENAULT/DUSTER,1019
NISSAN/VERSA,868
CAOA CHERY/TIGGO 5X,717
MITSUBISHI/ECLIPSE CROSS,613
CAOA CHERY/TIGGO 8,599
NISSAN/SENTRA,485
FORD/TERRITORY,469
RENAULT/SANDERO,406
BYD/KING,384
GWM/ORA 03,382
RENAULT/LOGAN,373
