Modelo,Jul/24
VW/POLO,12543
FIAT/ARGO,8663
VW/T CROSS,8185
GM/ONIX,7423
HYUNDAI/CRETA,7281
HYUNDAI/HB20,7228
FIAT/MOBI,6807
GM/TRACKER,6391
NISSAN/KICKS,5819
JEEP/RENEGADE,5766
FIAT/FASTBACK,5651
VW/NIVUS,5570
GM/ONIX PLUS,4864
TOYOTA/COROLLA CROSS,4848
JEEP/COMPASS,4728
HONDA/HR-V,4635
FIAT/PULSE,3662
RENAULT/KWID,3520
TOYOTA/COROLLA,3500
CAOA CHERY/TIGGO 7,3471
HYUNDAI/HB20S,3048
VW/VIRTUS,2906
TOYOTA/YARIS HB,2819
GWM/HAVAL H6,2786
FIAT/CRONOS,2603
PEUGEOT/208,2371
GM/SPIN,2370
RENAULT/KARDIAN,2367
TOYOTA/YARIS SEDAN,2291
BYD/SONG,2139
CITROEN/C3,2111
VW/TAOS,2076
HONDA/CITY,1701
JEEP/COMMANDER,1696
HONDA/CITY HATCH,1590
TOYOTA/HILUX SW4,1510
CAOA CHERY/TIGGO 5X,1500
BYD/DOLPHIN MINI,1488
BYD/DOLPHIN,1467
RENAULT/DUSTER,1369
NISSAN/VERSA,1327
CITROEN/C3 AIRCROSS,924
MITSUBISHI/ECLIPSE CROSS,837
NISSAN/SENTRA,728
RENAULT/LOGAN,644
BYD/KING,593
FORD/TERRITORY,508
RENAULT/SANDERO,432
BMW/X1,415
GWM/ORA 03,398
